last_name,first_name,display_name,tournament,year,round,tour
Federer,Roger,Roger Federer,US Open,2019,QF,ATP
Medvedev,Daniil,Daniil Medvedev,US Open,2019,QF,ATP
Monfils,Gael,Gael Monfils,US Open,2019,QF,ATP
Nadal,Rafael,Rafael Nadal,US Open,2019,QF,ATP
Schwartzman,Diego,Diego Schwartzman,US Open,2019,QF,ATP
Wawrinka,Stan,Stan Wawrinka,US Open,2019,QF,ATP
Berrettini,Matteo,Matteo Berrettini,US Open,2019,SF,ATP
Dimitrov,Grigor,Grigor Dimitrov,US Open,2019,SF,ATP
Medvedev,Daniil,Daniil Medvedev,US Open,2019,SF,ATP
Nadal,Rafael,Rafael Nadal,US Open,2019,SF,ATP
Medvedev,Daniil,Daniil Medvedev,US Open,2019,F,ATP
Nadal,Rafael,Rafael Nadal,US Open,2019,F,ATP
Nadal,Rafael,Rafael Nadal,US Open,2019,W,ATP
Ahn,Kristie,Kristie Ahn,US Open,2019,R16,WTA
Andreescu,Bianca,Bianca Andreescu,US Open,2019,R16,WTA
Barty,Ashleigh,Ashleigh Barty,US Open,2019,R16,WTA
Bencic,Belinda,Belinda Bencic,US Open,2019,R16,WTA
Goerges,Julia,Julia Goerges,US Open,2019,R16,WTA
Keys,Madison,Madison Keys,US Open,2019,R16,WTA
Konta,Johanna,Johanna Konta,US Open,2019,R16,WTA
Martic,Petra,Petra Martic,US Open,2019,R16,WTA
Mertens,Elise,Elise Mertens,US Open,2019,R16,WTA
Osaka,Naomi,Naomi Osaka,US Open,2019,R16,WTA
Pliskova,Karolina,Karolina Pliskova,US Open,2019,R16,WTA
Svitolina,Elina,Elina Svitolina,US Open,2019,R16,WTA
Townsend,Taylor,Taylor Townsend,US Open,2019,R16,WTA
