last_name,first_name,display_name,goals
Rosa,Fernando Luiz,Fernandinho,20
Sanli,Tuncay,Tuncay Sanli,20
Savage,Robbie,Robbie Savage,20
Schade,Kevin,Kevin Schade,20
Tadic,Dusan,Dusan Tadic,20
van Aanholt,Patrick,Patrick van Aanholt,20
Dichio,Danny,Danny Dichio,19
Djorkaeff,Youri,Youri Djorkaeff,19
Ehiogu,Ugo,Ugo Ehiogu,19
Elmander,Johan,Johan Elmander,19
Fuller,Ricardo,Ricardo Fuller,19
Gray,Demarai,Demarai Gray,19
Harford,Mick,Mick Harford,19
Hignett,Craig,Craig Hignett,19
Ireland,Stephen,Stephen Ireland,19
Jansen,Matt,Matt Jansen,19
Keane,Michael,Michael Keane,19
McTominay,Scott,Scott McTominay,19
Naismith,Steven,Steven Naismith,19
Park,Ji-Sung,Park Ji-Sung,19
Parker,Garry,Garry Parker,19
Podolski,Lukas,Lukas Podolski,19
Rogers,Morgan,Morgan Rogers,19
Rosicky,Tomas,Tomas Rosicky,19
Ulloa,Leonardo,Leonardo Ulloa,19
Wickham,Connor,Connor Wickham,19
Zenden,Boudewijn,Boudewijn Zenden,19
Aké,Nathan,Nathan Aké,18
Alexander-Arnold,Trent,Trent Alexander-Arnold,18
Awoniyi,Taiwo,Taiwo Awoniyi,18
Bentley,David,David Bentley,18
Campbell,Fraizer,Fraizer Campbell,18
Diamé,Mohamed,Mohamed Diamé,18
Dyer,Nathan,Nathan Dyer,18
Édouard,Odsonne,Odsonne Édouard,18
Fraser,Ryan,Ryan Fraser,18
Gallagher,Conor,Conor Gallagher,18
Gallen,Kevin,Kevin Gallen,18
Garcia,Luis,Luis Garcia,18
Gosling,Dan,Dan Gosling,18
Graham,Daniel,Danny Graham,18
Haaland,Alf Inge,Alf Inge Haaland,18
Irwin,Denis,Denis Irwin,18
Jagielka,Phil,Phil Jagielka,18
Kompany,Vincent,Vincent Kompany,18
Maccarone,Massimo,Massimo Maccarone,18
McClair,Brian,Brian McClair,18
Muniz Carvalho,Rodrigo,Rodrigo Muniz,18
Nascimento Rodrigues,Igor Thiago,Igor Thiago,18
Negredo,Álvaro,Álvaro Negredo,18
Sakho,Diafra,Diafra Sakho,18
